time,fitness,extraction,metabolic,population
6.650000000000000000e+05,1.159235334455618105e+00,1.079832731345339303e+00,9.317255304947524852e-01,5.300000000000000000e+01
6.700000000000000000e+05,1.160143935143068683e+00,1.080296088016245770e+00,9.313853483244936005e-01,5.200000000000000000e+01
6.750000000000000000e+05,1.162153710548368801e+00,1.082126515413154744e+00,9.313582804750435429e-01,5.200000000000000000e+01
6.800000000000000000e+05,1.162153710548368801e+00,1.082126515413154744e+00,9.313582804750435429e-01,5.200000000000000000e+01
6.850000000000000000e+05,1.162153710548368801e+00,1.082126515413154744e+00,9.313582804750435429e-01,5.200000000000000000e+01
6.900000000000000000e+05,1.162153710548368801e+00,1.082126515413154744e+00,9.313582804750435429e-01,5.200000000000000000e+01
6.950000000000000000e+05,1.163011674900494175e+00,1.082882419957106102e+00,9.313185509993483491e-01,5.300000000000000000e+01
7.000000000000000000e+05,1.165873730739186209e+00,1.084540882692618613e+00,9.304141351384090930e-01,5.200000000000000000e+01
7.050000000000000000e+05,1.168088681714175570e+00,1.086083589177983644e+00,9.299602014316271648e-01,5.200000000000000000e+01
7.100000000000000000e+05,1.168088681714175570e+00,1.086083589177983644e+00,9.299602014316271648e-01,5.200000000000000000e+01
7.150000000000000000e+05,1.168088681714175570e+00,1.086083589177983644e+00,9.299602014316271648e-01,5.200000000000000000e+01
7.200000000000000000e+05,1.168088681714175570e+00,1.086083589177983644e+00,9.299602014316271648e-01,5.200000000000000000e+01
7.250000000000000000e+05,1.171788646492579078e+00,1.088273076610028367e+00,9.288848112639014332e-01,5.300000000000000000e+01
7.300000000000000000e+05,1.172921577624445932e+00,1.089080456120793183e+00,9.286678488997418546e-01,5.200000000000000000e+01
7.350000000000000000e+05,1.173613305013235353e+00,1.090025791549470213e+00,9.289155916850126982e-01,5.300000000000000000e+01
7.400000000000000000e+05,1.173613305013235353e+00,1.090025791549470213e+00,9.289155916850126982e-01,5.300000000000000000e+01
7.450000000000000000e+05,1.177150872182963770e+00,1.092640880338768383e+00,9.283166682915241497e-01,5.300000000000000000e+01
7.500000000000000000e+05,1.178993137507340361e+00,1.093693081560937364e+00,9.277153394322097402e-01,5.300000000000000000e+01
7.550000000000000000e+05,1.180743649455944011e+00,1.094491053661567515e+00,9.269830965405639889e-01,5.300000000000000000e+01
7.600000000000000000e+05,1.180743649455944011e+00,1.094491053661567515e+00,9.269830965405639889e-01,5.300000000000000000e+01
7.650000000000000000e+05,1.182912883876071408e+00,1.095697039283572094e+00,9.263217039065497760e-01,5.300000000000000000e+01
7.700000000000000000e+05,1.182912883876071408e+00,1.095697039283572094e+00,9.263217039065497760e-01,5.300000000000000000e+01
7.750000000000000000e+05,1.184229013239029626e+00,1.096432491421415412e+00,9.258935949624731432e-01,5.300000000000000000e+01
7.800000000000000000e+05,1.187524265512849508e+00,1.099368273202473212e+00,9.257803678119986834e-01,5.200000000000000000e+01
7.850000000000000000e+05,1.189693246952029826e+00,1.101108473775768148e+00,9.255648772992765005e-01,5.400000000000000000e+01
7.900000000000000000e+05,1.190801228002605683e+00,1.101998199744224083e+00,9.254453163145063277e-01,5.300000000000000000e+01
7.950000000000000000e+05,1.191891874567701404e+00,1.102495606634410041e+00,9.250353311699728298e-01,5.400000000000000000e+01
8.000000000000000000e+05,1.191891874567701404e+00,1.102495606634410041e+00,9.250353311699728298e-01,5.400000000000000000e+01
8.050000000000000000e+05,1.191891874567701404e+00,1.102495606634410041e+00,9.250353311699728298e-01,5.400000000000000000e+01
8.100000000000000000e+05,1.194951790232966493e+00,1.104766180769465311e+00,9.245405758606356494e-01,5.500000000000000000e+01
8.150000000000000000e+05,1.195642957459658540e+00,1.105402208039043987e+00,9.245382411420793867e-01,5.400000000000000000e+01
8.200000000000000000e+05,1.195642957459658540e+00,1.105402208039043987e+00,9.245382411420793867e-01,5.400000000000000000e+01
8.250000000000000000e+05,1.196409368135019191e+00,1.106243625177717682e+00,9.246535048639461518e-01,5.300000000000000000e+01
8.300000000000000000e+05,1.197322931538916002e+00,1.106993857289247929e+00,9.245773438626943008e-01,5.400000000000000000e+01
8.350000000000000000e+05,1.197322931538916002e+00,1.106993857289247929e+00,9.245773438626943008e-01,5.400000000000000000e+01
8.400000000000000000e+05,1.198297314087223064e+00,1.108003486474174792e+00,9.246639241223904015e-01,5.500000000000000000e+01
8.450000000000000000e+05,1.199157302507298128e+00,1.108837652873091439e+00,9.246980554749222314e-01,5.400000000000000000e+01
